,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
24706,25432,F,55,7.394,7.31698,313.0,1,0,0,0,0,12355
25248,31108,F,45,6.784,7.13687,324.65,1,0,0,0,0,12611
20275,28360,F,39,6.084,5.63811,264.9,1,0,0,0,0,10120
24290,28705,M,46,6.4639999999999995,6.760039999999999,305.68,0,0,0,0,0,12142
22108,29773,M,44,6.586,6.42825,279.35,0,0,0,0,0,11076
21013,29160,M,42,6.33,5.79784,269.97,0,0,0,0,0,10498
20345,24507,M,68,5.814,5.71537,265.3,0,0,0,0,0,10156
23375,25659,F,28,6.114,6.5159400000000005,293.08,1,0,0,0,0,11718
24550,30479,F,31,6.75,6.9050899999999995,310.33,1,0,0,0,0,12281
13480,26728,M,29,4.9,4.82759,232.65,0,0,0,0,0,6710
19294,30928,M,65,5.64,5.924869999999999,258.63,0,0,0,0,0,9628
21256,29891,M,56,6.6739999999999995,6.477069999999999,271.82,0,0,0,0,0,10640
18682,31317,M,33,5.236000000000001,5.26366,255.38,0,0,0,0,0,9323
25233,25805,F,47,6.496,6.74582,324.28,1,0,0,0,0,12605
26341,25797,F,53,6.166,6.83493,364.15,1,0,0,0,0,13166
23839,27531,M,32,5.926,5.96896,298.63,0,0,0,0,0,11929
17529,29219,M,50,5.556,5.61346,249.32,0,0,0,0,0,8753
23939,26251,F,25,6.526,6.596989999999999,300.07,1,0,0,0,0,11982
17619,27435,M,25,5.76,5.744759999999999,249.78,0,0,0,0,0,8793
19923,25249,M,34,4.766,5.491169999999999,262.45,0,0,0,0,0,9947
24073,26157,F,37,6.84,7.02832,302.02,1,0,0,0,0,12037
25702,30736,M,56,6.48,7.006989999999999,336.38,0,0,0,0,0,12831
16798,26102,F,26,5.796,5.53857,245.55,1,0,0,0,0,8369
22852,27695,F,46,6.494,6.575660000000001,286.97,1,0,0,0,0,11456
21734,25578,F,40,5.896,6.02346,275.92,1,0,0,0,0,10883
14552,25632,M,59,5.426,5.32765,236.25,0,0,0,0,0,7231
23910,29909,F,37,7.236000000000001,7.19375,299.58,1,0,0,0,0,11969
22179,28288,F,29,6.194,6.10594,280.07,1,0,0,0,0,11108
16671,26772,M,34,5.706,5.51345,244.97,0,0,0,0,0,8307
17171,28271,M,32,6.093999999999999,5.746180000000001,247.48,0,0,0,0,0,8567
23448,28732,M,31,6.226,6.12063,293.92,0,0,0,0,0,11747
19725,27553,M,37,5.48,5.42339,261.28,0,0,0,0,0,9856
22529,25601,F,36,6.42,6.4548,283.85,1,0,0,0,0,11292
22546,30555,F,34,6.204,6.24814,283.98,1,0,0,0,0,11300
23165,26529,F,33,6.064,6.32682,290.4,1,0,0,0,0,11606
24106,31204,M,45,6.0760000000000005,6.39792,302.43,0,0,0,0,0,12047
17491,24019,M,72,4.846,5.25892,249.13,0,0,0,0,0,8737
23094,28053,F,28,6.606,6.609789999999999,289.52,1,0,0,0,0,11579
25218,27475,F,24,6.25,6.64202,323.9,1,0,0,0,0,12599
24993,24744,F,61,5.614,6.4273,318.9,1,0,0,0,0,12493
21539,24721,F,60,5.49,6.003080000000001,274.4,1,0,0,0,0,10791
20583,24452,F,57,5.776,6.02773,267.0,1,0,0,0,0,10271
20996,24339,F,56,5.454,5.79074,269.85,1,0,0,0,0,10490
25975,30112,F,50,8.554,8.04977,346.75,1,0,0,0,0,12977
19763,30801,M,36,6.066,6.10594,261.48,0,0,0,0,0,9870
22006,24598,F,60,5.854,6.01588,278.38,1,0,0,0,0,11021
24995,28376,F,55,6.58,7.018839999999999,318.98,1,0,0,0,0,12494
5971,29007,M,37,4.45,4.62709,205.93,0,0,0,0,0,2934
19574,31113,M,31,5.524,5.58265,260.37,0,0,0,0,0,9784
25192,26374,M,29,6.803999999999999,6.64202,323.17,0,0,0,0,0,12586
25382,25007,F,60,6.216,6.50551,327.37,1,0,0,0,0,12680
24562,25449,F,57,6.9239999999999995,7.15725,310.57,1,0,0,0,0,12285
25816,25793,F,36,7.196000000000001,7.6833800000000005,340.37,1,0,0,0,0,12897
25052,26498,M,45,6.81,6.8738,320.0,0,0,0,0,0,12521
25598,27533,F,55,6.19,7.3312,333.22,1,0,0,0,0,12787
20112,28452,F,46,5.81,5.76277,263.72,1,0,0,0,0,10039
17296,29246,F,30,6.044,5.76609,248.08,1,0,0,0,0,8638
18490,29844,F,29,5.956,5.83624,254.2,1,0,0,0,0,9223
19339,29398,M,31,6.124,5.7860000000000005,258.85,0,0,0,0,0,9652
23341,29320,F,54,5.956,6.483230000000001,292.62,1,0,0,0,0,11701
25015,27795,F,27,6.24,6.84536,319.33,1,0,0,0,0,12506
23523,30457,M,33,5.84,6.173719999999999,294.78,0,0,0,0,0,11784
20872,25463,M,38,5.66,5.76941,268.95,0,0,0,0,0,10426
26159,29624,F,52,7.024,7.822260000000001,354.07,1,0,0,0,0,13069
22727,31430,M,25,6.394,6.4401,285.65,0,0,0,0,0,11390
20619,26007,F,55,5.8839999999999995,6.0993,267.25,1,0,0,0,0,10292
22145,26298,M,31,6.51,6.58135,279.73,0,0,0,0,0,11090
24969,27278,F,46,7.434,7.29091,318.33,1,0,0,0,0,12479
21718,30896,F,57,6.21,6.39081,275.8,1,0,0,0,0,10875
26094,30499,F,36,7.074,7.8469,351.48,1,0,0,0,0,13035
18278,25972,M,40,5.584,5.68219,253.1,0,0,0,0,0,9115
18827,25017,F,62,5.796,5.86468,256.22,1,0,0,0,0,9399
22099,24865,M,70,5.966,6.16092,279.25,0,0,0,0,0,11071
24277,28975,F,32,6.346,6.75767,305.5,1,0,0,0,0,12137
24947,27019,F,25,7.936,7.13497,318.02,1,0,0,0,0,12468
24916,25998,F,38,6.584,7.12075,317.37,1,0,0,0,0,12452
23604,30589,M,25,6.044,5.8490400000000005,295.83,0,0,0,0,0,11817
21224,28964,F,44,6.544,6.12016,271.58,1,0,0,0,0,10626
20256,25716,F,26,5.8,5.98412,264.77,1,0,0,0,0,10112
21081,27175,M,38,6.303999999999999,5.9073400000000005,270.42,0,0,0,0,0,10538
17814,24457,F,56,5.586,5.59687,250.72,1,0,0,0,0,8882
24398,27709,M,24,7.024,6.985189999999999,307.25,0,0,0,0,0,12208
15328,27234,M,40,5.34,5.28404,238.92,0,0,0,0,0,7597
23357,26771,F,42,6.916,6.91409,292.8,1,0,0,0,0,11709
21626,29721,M,51,6.0760000000000005,6.21875,275.1,0,0,0,0,0,10825
22959,26882,F,33,6.26,6.21401,288.17,1,0,0,0,0,11513
20265,27362,F,48,5.82,6.02773,264.83,1,0,0,0,0,10117
24828,24791,F,60,5.42,6.2813099999999995,315.48,1,0,0,0,0,12410
12491,25714,M,34,5.1339999999999995,5.11435,229.15,0,0,0,0,0,6202
19312,30012,M,26,6.004,5.85378,258.73,0,0,0,0,0,9640
22882,31146,F,46,6.496,6.428730000000001,287.33,1,0,0,0,0,11469
22683,24093,F,55,5.846,6.12869,285.27,1,0,0,0,0,11366
15804,28855,M,38,5.67,5.3978,240.78,0,0,0,0,0,7846
25964,29103,F,26,7.27,7.125489999999999,346.23,1,0,0,0,0,12973
25621,28942,M,62,7.29,7.719869999999999,334.02,0,0,0,0,0,12796
16331,24143,F,55,5.834,5.73433,243.4,1,0,0,0,0,8119
25427,27432,F,29,6.414,6.37753,328.72,1,0,0,0,0,12699
12252,27381,F,31,5.584,5.22242,228.45,1,0,0,0,0,6078
21859,26136,M,54,6.356,6.18225,277.02,0,0,0,0,0,10942
25643,26337,M,56,6.944,7.2748,334.58,0,0,0,0,0,12807
20823,25609,M,32,5.95,6.05427,268.65,0,0,0,0,0,10404
13898,24375,F,63,5.4239999999999995,5.37125,234.02,1,0,0,0,0,6920
26170,24321,F,57,6.596,7.61228,354.4,1,0,0,0,0,13075
23911,24478,M,65,5.614,6.13011,299.58,0,0,0,0,0,11970
21088,27286,F,24,5.324,5.81917,270.47,1,0,0,0,0,10541
14824,26314,M,25,6.086,5.71537,237.2,0,0,0,0,0,7359
26115,24192,M,66,6.89,7.85307,352.37,0,0,0,0,0,13045
25114,25159,M,67,6.65,7.480980000000001,321.38,0,0,0,0,0,12549
24805,30971,M,52,6.34,6.79939,314.93,0,0,0,0,0,12402
15183,25357,M,53,5.7139999999999995,5.61915,238.42,0,0,0,0,0,7521
24561,31180,M,45,6.21,6.41782,310.55,0,0,0,0,0,12283
15742,26823,M,45,5.816,5.7386,240.48,0,0,0,0,0,7814
26022,28649,M,59,6.516,7.177160000000001,348.9,0,0,0,0,0,13003
23902,27429,F,55,7.1739999999999995,7.149189999999999,299.48,1,0,0,0,0,11963
17426,27963,F,52,5.646,5.72485,248.75,1,0,0,0,0,8700
25944,27389,F,35,7.274,7.734089999999999,345.42,1,0,0,0,0,12961
22858,30109,F,22,6.3,6.15097,287.02,1,0,0,0,0,11460
22365,25568,F,36,6.36,6.50409,281.95,1,0,0,0,0,11205
19083,27973,F,29,5.626,5.58455,257.58,1,0,0,0,0,9520
22034,24166,M,68,5.394,5.74144,278.6,0,0,0,0,0,11038
21602,28088,F,25,5.7860000000000005,5.83245,274.92,1,0,0,0,0,10816
17874,27359,M,32,5.0760000000000005,5.22195,251.0,0,0,0,0,0,8918
12214,29874,M,30,6.516,5.48169,228.32,0,0,0,0,0,6056
22117,25443,F,41,5.94,6.16803,279.45,1,0,0,0,0,11079
15781,24576,F,60,5.1,5.2314300000000005,240.68,1,0,0,0,0,7831
24874,28224,F,50,6.4,6.88944,316.55,1,0,0,0,0,12432
21803,27663,M,38,6.664,6.4069199999999995,276.53,0,0,0,0,0,10917
21121,25038,M,76,5.934,6.0301,270.73,0,0,0,0,0,10562
24730,24697,F,55,5.624,6.73872,313.38,1,0,0,0,0,12367
23988,27425,M,25,5.796,6.3363,300.85,0,0,0,0,0,12003
25870,30513,F,20,7.05,7.601380000000001,342.37,1,0,0,0,0,12919
22173,25562,F,26,5.994,6.24861,280.02,1,0,0,0,0,11107
25454,31127,M,40,6.716,7.26721,329.28,0,0,0,0,0,12715
24682,30577,M,54,6.9639999999999995,6.81977,312.72,0,0,0,0,0,12341
26074,27661,F,30,6.324,7.2553600000000005,350.72,1,0,0,0,0,13023
26148,27368,F,40,7.164,7.844530000000001,353.7,1,0,0,0,0,13062
17532,28447,F,40,5.626,5.32859,249.32,1,0,0,0,0,8755
25990,28747,M,28,6.796,6.70127,347.77,0,0,0,0,0,12986
20155,27382,F,35,5.65,5.93435,263.97,1,0,0,0,0,10060
24574,29938,F,30,6.54,6.63254,310.83,1,0,0,0,0,12290
21689,25097,F,69,5.95,6.18462,275.55,1,0,0,0,0,10857
25878,28631,M,35,5.99,7.335939999999999,342.7,0,0,0,0,0,12924
26367,27218,M,41,6.394,7.14208,366.9,0,0,0,0,0,13178
25973,31105,F,51,7.314,7.917999999999999,346.55,1,0,0,0,0,12976
24202,29646,M,74,6.553999999999999,6.797960000000001,304.15,0,0,0,0,0,12101
13797,31064,M,59,5.146,5.195880000000001,233.68,0,0,0,0,0,6863
18661,30708,F,46,6.314,5.90497,255.22,1,0,0,0,0,9312
23542,24030,F,54,5.996,6.40266,295.05,1,0,0,0,0,11792
11798,30714,M,35,5.053999999999999,4.95651,227.05,0,0,0,0,0,5841
25197,30216,F,20,7.946000000000001,7.6440399999999995,323.32,1,0,0,0,0,12589
22684,28468,M,47,5.596,5.5883400000000005,285.27,0,0,0,0,0,11367
25236,30058,M,33,6.4239999999999995,6.77663,324.32,0,0,0,0,0,12606
23215,25002,F,64,5.954,6.52305,290.98,1,0,0,0,0,11633
26195,29059,F,30,7.303999999999999,8.0474,355.32,1,0,0,0,0,13090
23284,25339,F,27,6.51,6.61074,291.9,1,0,0,0,0,11666
14316,27525,M,44,5.026,5.1627,235.37,0,0,0,0,0,7125
19572,30856,M,42,5.59,5.61109,260.35,0,0,0,0,0,9783
18232,25677,F,29,5.756,5.641430000000001,252.77,1,0,0,0,0,9096
20828,24855,M,70,5.666,5.99028,268.65,0,0,0,0,0,10401
20487,27687,F,30,6.164,6.0993,266.3,1,0,0,0,0,10225
16606,26702,F,44,5.3660000000000005,5.4153400000000005,244.65,1,0,0,0,0,8268
22168,24257,F,57,5.404,6.122999999999999,279.98,1,0,0,0,0,11104
19812,24960,F,62,5.736000000000001,5.89501,261.85,1,0,0,0,0,9898
21199,27977,F,23,6.074,5.959,271.42,1,0,0,0,0,10611
23984,26002,M,56,6.274,6.6467600000000004,300.78,0,0,0,0,0,12000
20952,27211,F,23,6.074,6.01872,269.53,1,0,0,0,0,10466
24704,26938,M,40,6.766,6.866689999999999,312.98,0,0,0,0,0,12353
21974,31020,M,49,5.94,5.75756,278.12,0,0,0,0,0,11001
12618,30647,M,40,5.1,5.1807099999999995,229.63,0,0,0,0,0,6265
16220,24537,M,66,5.526,5.40917,242.82,0,0,0,0,0,8065
17991,24659,F,55,5.206,5.506819999999999,251.6,1,0,0,0,0,8972
14176,29123,M,48,5.184,5.1973,234.93,0,0,0,0,0,7063
21368,27232,F,37,6.084,6.0045,272.93,1,0,0,0,0,10699
21183,27739,F,33,6.114,5.878419999999999,271.3,1,0,0,0,0,10601
23790,30650,M,57,6.204,6.647710000000001,298.1,0,0,0,0,0,11904
23266,27804,M,28,4.726,5.5125,291.7,0,0,0,0,0,11659
21415,30258,M,55,6.176,5.95711,273.32,0,0,0,0,0,10726
26114,28669,F,53,7.75,7.67011,352.3,1,0,0,0,0,13044
23311,24025,F,53,5.704,6.16424,292.3,1,0,0,0,0,11679
25090,29515,F,25,6.67,7.2743199999999995,320.83,1,0,0,0,0,12537
25185,27867,M,53,7.05,7.24114,323.05,0,0,0,0,0,12582
24225,29524,M,43,6.456,6.52305,304.6,0,0,0,0,0,12108
17340,24269,M,65,5.2139999999999995,5.40017,248.33,0,0,0,0,0,8655
22760,26547,M,60,5.093999999999999,5.41202,285.95,0,0,0,0,0,11406
20650,25331,M,31,6.074,6.1523900000000005,267.45,0,0,0,0,0,10308
20565,28608,F,29,5.756,5.89501,266.87,1,0,0,0,0,10264
20979,25898,F,28,6.026,6.10878,269.73,1,0,0,0,0,10478
23634,28895,M,43,6.38,6.4548,296.23,0,0,0,0,0,11830
20938,26370,M,35,6.1,5.73623,269.45,0,0,0,0,0,10459
21655,28892,F,49,6.364,6.2054800000000006,275.3,1,0,0,0,0,10838
8095,27680,M,43,5.42,4.93044,214.0,0,0,0,0,0,3963
15754,25215,M,40,4.736000000000001,5.11814,240.53,0,0,0,0,0,7819
23507,30811,F,45,6.276,6.71881,294.53,1,0,0,0,0,11774
18415,24157,F,56,5.3,5.52767,253.85,1,0,0,0,0,9182
24673,30595,F,33,6.226,6.972389999999999,312.63,1,0,0,0,0,12337
23329,29392,F,27,6.416,6.46617,292.5,1,0,0,0,0,11693
23157,30565,M,40,6.36,6.33488,290.3,0,0,0,0,0,11602
8119,31268,M,44,5.494,5.11672,214.1,0,0,0,0,0,3976
26215,27732,M,39,7.056,7.5136899999999995,356.57,0,0,0,0,0,13101
24611,30289,F,26,6.21,6.560969999999999,311.35,1,0,0,0,0,12309
16894,28974,M,40,5.4,5.33855,246.0,0,0,0,0,0,8423
25805,30230,F,41,6.334,7.1501399999999995,340.05,1,0,0,0,0,12888
19508,25572,F,34,5.776,5.79074,259.85,1,0,0,0,0,9744
20840,29836,F,27,5.97,5.92013,268.75,1,0,0,0,0,10410
25337,31176,M,50,6.69,7.113169999999999,326.42,0,0,0,0,0,12660
24490,24539,F,56,6.68,7.2032300000000005,309.17,1,0,0,0,0,12253
25262,26574,F,37,6.656000000000001,6.51736,324.88,1,0,0,0,0,12617
17275,24443,F,64,5.666,5.67603,247.93,1,0,0,0,0,8623
25553,25151,M,50,6.156000000000001,6.52779,331.92,0,0,0,0,0,12767
21411,26346,F,25,6.1,6.00924,273.3,1,0,0,0,0,10724
21127,28676,F,32,6.284,6.1121,270.78,1,0,0,0,0,10565
20664,25561,M,47,5.726,5.86705,267.53,0,0,0,0,0,10318
22667,30544,M,68,6.476,6.577560000000001,285.13,0,0,0,0,0,11360
25327,26703,F,35,6.34,6.40929,326.33,1,0,0,0,0,12654
24345,27510,F,26,5.49,6.3339300000000005,306.35,1,0,0,0,0,12174
22524,25974,F,29,5.896,6.04195,283.77,1,0,0,0,0,11288
24246,29575,M,38,6.7139999999999995,6.98045,304.92,0,0,0,0,0,12120
9007,27828,M,38,4.8839999999999995,4.64273,217.3,0,0,0,0,0,4414
15978,30752,M,55,5.276,5.1086599999999995,241.63,0,0,0,0,0,7926
14975,31058,M,35,5.68,5.48169,237.72,0,0,0,0,0,7438
23797,29147,F,46,6.52,6.800330000000001,298.2,1,0,0,0,0,11909
22105,29477,M,41,5.95,5.866569999999999,279.3,0,0,0,0,0,11074
17748,26555,F,31,5.776,5.43809,250.43,1,0,0,0,0,8845
25385,28435,F,40,7.186,7.46202,327.38,1,0,0,0,0,12682
17058,27458,M,34,5.574,5.31675,246.85,0,0,0,0,0,8506
20964,25921,F,50,6.016,6.18699,269.62,1,0,0,0,0,10473
23257,30344,M,29,6.19,6.573289999999999,291.52,0,0,0,0,0,11654
25481,27891,F,28,6.254,6.904610000000001,330.0,1,0,0,0,0,12731
16084,30324,F,26,6.09,5.76514,242.15,1,0,0,0,0,7990
25527,27749,F,43,6.684,6.96433,331.27,1,0,0,0,0,12752
23078,27018,F,26,6.104,6.29601,289.37,1,0,0,0,0,11572
15179,29929,M,48,4.974,5.01481,238.42,0,0,0,0,0,7520
23300,28898,M,56,5.96,5.90971,292.2,0,0,0,0,0,11674
21119,28255,M,44,5.794,5.93341,270.72,0,0,0,0,0,10561
20223,28526,F,44,6.093999999999999,5.97607,264.47,1,0,0,0,0,10095
24586,24940,F,61,5.926,6.79465,311.0,1,0,0,0,0,12300
26233,28248,F,46,6.814,7.2060699999999995,357.47,1,0,0,0,0,13112
25267,27826,M,47,6.256,6.245769999999999,325.12,0,0,0,0,0,12619
16054,27136,F,45,5.406000000000001,5.33096,242.03,1,0,0,0,0,7968
21120,29543,F,49,6.13,6.198840000000001,270.72,1,0,0,0,0,10560
25304,26829,M,35,6.806,6.88802,325.87,0,0,0,0,0,12642
19307,30317,F,53,5.736000000000001,5.758030000000001,258.72,1,0,0,0,0,9634
22146,25537,F,51,6.274,6.304069999999999,279.75,1,0,0,0,0,11091
24543,31103,F,25,6.066,6.13248,310.2,1,0,0,0,0,12276
22744,31312,M,25,5.986000000000001,6.18652,285.82,0,0,0,0,0,11398
23565,27411,F,30,5.763999999999999,6.125369999999999,295.38,1,0,0,0,0,11800
22802,31370,F,24,6.52,6.38701,286.37,1,0,0,0,0,11432
24621,29696,M,63,6.65,7.14208,311.57,0,0,0,0,0,12315
19385,24132,F,57,5.9639999999999995,6.03484,259.1,1,0,0,0,0,9681
18496,25407,M,29,5.916,5.72722,254.25,0,0,0,0,0,9228
12744,30024,M,29,5.534,5.40586,230.08,0,0,0,0,0,6337
23247,28951,M,43,6.364,6.26757,291.37,0,0,0,0,0,11648
20700,27620,F,36,6.03,5.996919999999999,267.75,1,0,0,0,0,10337
21217,30975,M,47,6.32,6.245769999999999,271.55,0,0,0,0,0,10620
17865,27046,F,39,6.54,5.95,250.95,1,0,0,0,0,8914
19903,25801,F,45,5.696000000000001,5.88364,262.32,1,0,0,0,0,9939
24573,30467,M,39,7.54,7.466289999999999,310.83,0,0,0,0,0,12291
22883,28523,M,49,6.2,6.37516,287.33,0,0,0,0,0,11470
13456,31133,F,60,5.41,5.36888,232.58,1,0,0,0,0,6695
21109,29799,F,26,6.22,6.24008,270.67,1,0,0,0,0,10554
15511,29579,M,41,6.11,5.499230000000001,239.57,0,0,0,0,0,7686
13481,26673,M,35,5.266,5.30063,232.65,0,0,0,0,0,6712
1909,30725,M,48,4.846,4.31473,184.17,0,0,0,0,0,944
649,31253,M,39,3.78,3.7715400000000003,171.23,0,0,0,0,0,309
21101,24583,M,65,5.296,5.62247,270.58,0,0,0,0,0,10551
22053,24987,F,62,5.906000000000001,5.98318,278.75,1,0,0,0,0,11048
26085,25552,F,27,6.204,6.77,351.13,1,0,0,0,0,13031
26290,25549,F,45,7.69,8.08532,360.63,1,0,0,0,0,13141
22540,30598,M,59,6.454,6.40977,283.95,0,0,0,0,0,11297
21712,30858,M,42,6.106,6.19837,275.75,0,0,0,0,0,10871
17139,24403,F,62,5.696000000000001,5.72912,247.25,1,0,0,0,0,8549
25706,30690,F,56,7.21,7.52838,336.53,1,0,0,0,0,12833
21507,26508,F,30,6.4,6.53253,274.2,1,0,0,0,0,10775
23076,25727,M,22,5.934,5.93578,289.33,0,0,0,0,0,11569
23659,28132,M,59,6.17,6.0538,296.52,0,0,0,0,0,11842
21641,26301,M,36,6.39,6.15855,275.2,0,0,0,0,0,10830
6066,28645,M,37,5.034,4.73895,206.28,0,0,0,0,0,2981
24408,29422,M,53,6.394,6.8406199999999995,307.52,0,0,0,0,0,12212
15517,28588,M,34,5.276,4.98543,239.58,0,0,0,0,0,7690
16526,26947,F,32,4.9639999999999995,5.3357,244.32,1,0,0,0,0,8225
20362,31373,M,47,5.814,5.71253,265.43,0,0,0,0,0,10164
20086,24859,F,61,6.03,6.03057,263.52,1,0,0,0,0,10026
25963,28644,M,33,6.346,6.62259,346.22,0,0,0,0,0,12972
12364,26589,M,39,5.16,5.17692,228.77,0,0,0,0,0,6139
