,Bib,M/F,"X1, Age","X2, 5K Pace","X3, Half Pace","Y, Official Time","X4, Gender","X5, Wave: Elite","X6, Wave: One","X7, Wave: Two","X8, Wave: Three",Index
5117,10984,M,46,4.5360000000000005,4.55978,202.18,0,0,0,1,0,2533
8323,9724,M,48,4.746,4.76502,214.87,0,0,0,1,0,4078
5833,15226,F,38,4.3839999999999995,4.50859,205.42,1,0,0,1,0,2860
6496,9158,F,25,4.37,4.4256400000000005,207.92,1,0,0,1,0,3175
10162,9542,M,61,4.766,4.82048,221.55,0,0,0,1,0,5007
8576,10444,M,47,4.68,4.8143199999999995,215.78,0,0,0,1,0,4200
19618,8551,M,43,4.144,4.33085,260.62,0,0,0,1,0,9801
9965,14831,F,39,5.124,5.20062,220.75,1,0,0,1,0,4906
6129,8630,F,29,4.486000000000001,4.55599,206.5,1,0,0,1,0,3008
10537,11701,M,46,4.78,4.70056,222.83,0,0,0,1,0,5192
12858,11510,F,29,5.166,5.212940000000001,230.45,1,0,0,1,0,6398
8152,11755,M,46,4.95,4.95556,214.25,0,0,0,1,0,3997
17059,14316,M,51,4.984,5.31438,246.85,0,0,0,1,0,8505
7756,13917,F,51,5.14,5.11435,212.72,1,0,0,1,0,3794
5645,13214,F,25,4.834,4.7508,204.62,1,0,0,1,0,2787
8970,10130,M,49,4.81,4.8456,217.17,0,0,0,1,0,4393
10890,8256,M,47,5.13,5.129519999999999,224.05,0,0,0,1,0,5366
9265,8472,M,64,4.42,4.66027,218.28,0,0,0,1,0,4550
9089,10969,M,53,4.6739999999999995,4.69487,217.58,0,0,0,1,0,4460
11296,11315,M,46,4.736000000000001,4.89774,225.3,0,0,0,1,0,5590
17657,11948,M,45,5.064,5.08212,249.95,0,0,0,1,0,8809
16121,15332,M,56,5.166,5.44614,242.32,0,0,0,1,0,8008
9583,15411,F,42,4.85,4.94988,219.38,1,0,0,1,0,4714
10535,10514,M,48,4.856,4.87499,222.83,0,0,0,1,0,5190
9264,11648,M,45,4.9239999999999995,4.94229,218.27,0,0,0,1,0,4545
9413,12800,M,59,5.026,4.97832,218.87,0,0,0,1,0,4618
3933,9596,F,39,4.56,4.58111,196.42,1,0,0,1,0,1926
8900,15069,M,56,5.33,5.21863,216.93,0,0,0,1,0,4358
4745,10226,F,37,4.676,4.60386,200.43,1,0,0,1,0,2345
4263,8949,F,36,4.5,4.56832,198.12,1,0,0,1,0,2089
12328,8025,M,44,4.64,5.11198,228.65,0,0,0,1,0,6124
18157,12874,M,56,5.24,5.491169999999999,252.38,0,0,0,1,0,9058
6343,15476,F,33,4.8260000000000005,4.78019,207.33,1,0,0,1,0,3106
8595,8216,M,50,4.724,4.81195,215.87,0,0,0,1,0,4212
6035,9177,M,45,4.3660000000000005,4.48726,206.17,0,0,0,1,0,2963
8151,12676,F,43,4.89,4.87025,214.25,1,0,0,1,0,3999
5942,14973,F,40,4.81,4.80152,205.83,1,0,0,1,0,2925
18194,8891,F,29,4.526,4.772130000000001,252.53,1,0,0,1,0,9075
6282,9235,M,49,4.7860000000000005,4.74322,207.07,0,0,0,1,0,3079
11742,13271,M,51,4.906000000000001,5.07785,226.85,0,0,0,1,0,5809
6865,14718,M,53,4.84,4.82901,209.3,0,0,0,1,0,3362
11915,12739,M,53,4.974,5.2319,227.45,0,0,0,1,0,5902
10283,13414,F,29,4.814,4.95793,221.95,1,0,0,1,0,5061
6012,10540,F,46,4.81,4.84655,206.12,1,0,0,1,0,2954
10926,13610,F,28,4.69,4.9603,224.17,1,0,0,1,0,5390
5546,9077,M,52,4.74,4.7764,204.2,0,0,0,1,0,2728
4717,11244,F,48,4.614,4.595330000000001,200.32,1,0,0,1,0,2333
